,name,longitude,latitude,rating,calls
213,Ocean Beach Volleyball Courts,-117.2516017,32.75252536,5.0,92
214,Black's Beach,-117.2507594,32.87737993,4.5,5
215,Ocean Beach,-117.23680130000001,32.75341538,4.0,59
216,Mission Point Park,-117.24592949999999,32.76116574,4.0,18
217,Mission Beach,-117.25206899999999,32.768777,4.5,50
218,Just Kayak,-117.2481301,32.7917517,5.0,132
219,Windansea Beach,-117.2804747,32.83012039,4.5,15
220,Pacific Beach Recreation Center,-117.2452893,32.8016093,3.5,106
221,Electra Bike Forums,-117.16431000000001,32.7211,4.0,336
222,Vacation Isle Park,-117.2364882,32.77230996,5.0,16
223,Shell Beach,-117.27632,32.850389,4.5,12
224,San Diego River Bike Path,-117.21764089999999,32.75844324,4.0,70
225,Lomita Park,-118.3144051,33.803455,3.5,0
227,Maggie Houlihan Memorial Dog Park,-117.2828488,33.03227379,4.5,0
228,Strata,-117.155984,32.711469,4.0,743
229,Seville Realty Group,-117.14595,32.75795,4.0,53
230,Air Concierge,-117.16433,32.72508,4.0,184
231,Windsor at Aviara,-117.280423,33.110727000000004,3.5,0
232,Cedar Creek Falls,-116.70059679999999,33.0060723,4.5,0
233,Alex Road Skatepark,-117.344801,33.221923,4.0,0
234,Mountain View Community Center,-117.1056,32.69911,4.0,63
235,Allied Gardens Recreational Center,-117.0795614,32.79573642,3.0,19
236,San Carlos Recreation Center,-117.0219569,32.7987,3.5,14
237,RJC Athletics,-117.09107,32.792759999999994,5.0,31
238,Mast Park,-116.99717790000001,32.8430021,3.5,0
239,Aztec Aquaplex SDSU,-117.0800476,32.7748489,4.0,29
240,Self Realization Fellowship Hermitage & Meditation Gardens,-117.294653,33.036573,5.0,0
241,Harry Griffen Park,-116.99090890000002,32.7833834,3.0,1
242,Lake Hodges Reservoir,-117.10863700000002,33.066039,4.5,0
243,Lake Jennings,-116.88643379999999,32.85172154,3.5,0
244,Mt Helix Park,-116.9825033,32.766981099999995,4.5,0
245,"Robert Egger, Sr. - South Bay Recreation Center",-117.094233,32.57498747,4.0,31
246,Montgomery-Waller Park,-117.0668348,32.5777643,5.0,23
247,Coast Boulevard Park,-117.2792777,32.84391897,5.0,31
248,Ellen Browning Scripps Park,-117.27386399999999,32.849273,4.5,26
249,Crown Point,-117.23378999999998,32.786809999999996,4.5,37
250,Florida Canyon,-117.1424463,32.72683341,4.0,14
251,Point Loma,-117.2375107,32.6838861,4.5,0
252,Desert Garden,-117.145578,32.733483,4.0,29
253,Canyonside Community Park,-117.130233,32.94215006,4.5,3
254,Rancho Penasquitos Off Leash Area,-117.12145,32.95787,3.5,20
255,Standley Recreation Center,-117.21011000000001,32.85066,4.5,14
256,Tierrasanta Community Park and Recreation Center,-117.08687649999999,32.8294852,3.5,2
257,Shepard Canyon,-117.10107109999998,32.83335213,4.5,6
258,North Fortuna Summit,-117.22833999999999,32.87966,5.0,4
259,Moonlight State Beach,-117.29807690000001,33.04798183,4.5,0
260,San Diego River Crossing Trail,-117.08932,32.81974,3.0,3
261,Damato Skatepark,-117.1099986,32.8185555,2.5,15
262,Adams Avenue Recreation Center,-117.11757779999999,32.7631951,3.5,57
263,Ocean Beach Park,-117.24684140000001,32.7425499,3.5,81
264,Ocean Beach Municipal Pier,-117.2535765,32.74712583,4.0,90
265,Ocean Beach Boardwalk,-117.25206270000001,32.748976,4.5,113
266,Ocean Beach Dog Beach,-117.24315,32.74991,4.5,107
267,Sunset Cliffs Bridge,-117.16232,32.71859,4.5,481
268,Ocean Beach Veteran's Memorial,-117.25257830000001,32.74773375,4.0,107
269,Robb Athletic Field,-117.24145779999999,32.754366,4.5,65
270,Belmont Park,-117.25108,32.76993,4.0,51
271,Point Loma Association,-117.23132,32.72112,4.0,28
272,Swami's State Beach,-117.29166740000001,33.0351999,4.5,0
273,Silver Strand State Beach,-117.142175,32.634791,3.5,1
274,Cardiff State Beach,-117.2775996,33.0031134,4.0,0
275,Imperial Beach Pier,-117.13490220000001,32.57953911,4.0,0
276,San Ysidro Port of Entry,-117.02920359999999,32.54360628,3.0,39
277,Diesel Salon,-117.1041311,32.76338226,4.5,41
278,Style Lounge Salon,-117.15946000000001,32.71097,4.5,582
279,CurlCraft,-117.1293405,32.7475282,5.0,118
280,Hair Drezzers On Fire,-117.118602,32.763147,4.5,53
281,Laila Salon,-117.12931999999999,32.72983,4.5,28
282,Salon on 30th,-117.12995,32.72917,4.5,28
283,The Color Collective Salon,-117.14575220000002,32.746161,5.0,93
284,Tokyo Blaq,-117.14622,32.83348,5.0,47
285,Raven & Sage Collective,-117.13027530000001,32.7477538,5.0,119
286,Hello Bella Nail & Spa,-117.15168,32.833259999999996,4.5,46
287,Old Cactus Garden,-117.154183,32.730973999999996,3.5,73
288,Tourmaline Surf Park,-117.26118390000002,32.80581348,4.5,33
289,Bird Rock,-117.27071000000001,32.81512,4.5,8
290,Bird Shit Rock,-117.25633710000001,32.73342257,5.0,10
291,False Point,-117.26616489999999,32.80842449,5.0,16
292,La Jolla Underwater Park,-117.273829,32.850514000000004,4.5,21
293,Cat Jetty,-117.2413111,32.759225,5.0,28
294,Spanish Landing Park East,-117.20411840000001,32.7291851,4.0,1
295,Sweetwater Summit Campground,-117.0062713,32.68405106,3.0,0
296,Mt. Acadia Neighborhood Park,-117.1810624,32.8112039,3.5,22
297,Old Town San Diego State Historic Park,-117.19790559999998,32.7549402,4.0,120
298,Fleet Science Center,-117.14737,32.73133,3.5,34
299,San Diego Natural History Museum,-117.1473889,32.73236259,3.5,30
300,Museum of Man,-117.1523561,32.73177243,3.5,63
301,San Diego Museum Of Art,-117.1503996,32.7315349,4.0,40
302,San Diego Children's Discovery Museum,-117.08235,33.12451,4.0,0
303,Brick Vault,-117.2171,32.904668,5.0,4
304,The New Children's Museum,-117.16515,32.71066,3.5,377
305,Creation and Earth History Museum,-116.95945049999999,32.84519741,3.5,0
306,Old Town Model Railroad Depot,-117.19379369999999,32.7516379,4.5,53
307,Kensington Mini Park,-117.10683,32.763020000000004,4.5,42
308,Marian Bear Memorial Park,-117.2159736,32.8333192,3.0,13
309,Fletcher Cove Park,-117.274082,32.991059,4.5,0
310,Howard Lane Neighborhood Park,-117.06306570000001,32.56621446,5.0,76
311,Los Altos Park,-118.12769640000002,33.79659145,3.5,0
312,Arco del Milenio,-117.0371154,32.53647512,3.0,0
313,Ocean View Hills Neighborhood Park,-117.0266,32.581959999999995,4.0,18
314,City of Otay Mesa,-116.9587281,32.56756731,5.0,7
315,University Heights Park,-117.1546368,32.76206791,3.5,47
316,Double Peak Park,-117.1771317,33.10913716,4.5,0
317,Strauss On Fifth,-117.1606225,32.742259000000004,5.0,120
318,Hawthorne Historic Inn,-117.16362,32.72744,4.5,153
319,Vista Pacifica Park,-117.00566599999999,32.581191,4.0,6
320,Sharp McDonald Center,-117.15462,32.80601,4.0,37
321,Vista Pacifica Apartments,-117.2848,33.188,3.5,0
322,RecoveryWorks,-117.11523319999999,32.901661,4.0,17
323,Pacifica Senior Living Vista,-117.23348999999999,33.218548,5.0,1
324,"Curtis Management Company, Inc",-117.3292389,33.13238144,2.0,0
325,Waterleaf Apartment Homes,-117.2782429,33.193204200000004,2.5,0
326,Kellogg Park,-117.25718729999998,32.85623026,5.0,12
327,Kellogg Park,-117.5581473,33.86334218,3.5,0
328,North Comfort Station,-117.256165,32.856832,5.0,13
329,Pacific Rim Park,-117.23355959999999,32.7083638,5.0,4
330,Scripps Beach,-117.2543853,32.86357106,4.5,5
331,San Diego Bay,-117.234197,32.708444,4.5,4
332,Kellogg's Beach,-117.24043999999999,32.71139,3.0,6
333,La Jolla Shores Lifeguard Tower,-117.25613700000001,32.856876,3.5,13
334,The Village Mission Valley,-117.1085645,32.7946438,3.5,13
335,Casa Aldea at University City Village,-117.1911216,32.8507857,4.5,8
336,Fashion Valley,-117.16678,32.7679298,4.0,45
337,Westfield UTC,-117.21341070000001,32.871047499999996,3.5,70
338,Costa Verde Center,-117.2152368,32.8677703,2.5,41
339,Del Rio Apartment Homes,-117.12878390000002,32.77857068,3.0,29
340,The Shops at La Jolla Village,-117.23372649999999,32.868380800000004,3.0,23
341,ALX,-117.15238000000001,32.70863,3.5,559
342,Portofino Apartment Homes,-117.12918379999999,32.784822399999996,4.0,26
343,The Missions At Rio Vista Apartments,-117.1469771,32.774619,2.0,52
344,True North Tavern,-117.12977,32.74767,3.0,122
345,University Gardens Park,-117.19005159999999,32.8538743,4.0,11
346,Alcazar Garden,-117.1515788,32.73125254,4.5,47
347,La Jolla International Gardens,-117.22374599999999,32.866782,3.5,29
348,1935 Cactus Garden,-117.153356,32.728918,5.0,69
349,Normal Heights,-117.11945,32.76335,4.0,53
350,Betty Rose Apartments,-117.13298999999999,32.75333,4.5,183
351,Towers at Costa Verde,-117.216201,32.869321,4.5,37
352,Avalon La Jolla Colony,-117.2288912,32.8626729,3.5,28
353,Taste of North Park,-117.1301104,32.74845399,4.0,148
354,Ariva,-117.1397001,32.8289363,3.5,64
355,Park Diplomat,-117.14741000000001,32.74736,2.5,105
356,Costa Verde Village,-117.21731000000001,32.8701,3.5,65
357,Starkey Mini Park,-117.2733202,32.82977968,5.0,19
358,Grant Hill Park,-117.1379592,32.70946786,4.5,175
359,Rohr Park,-117.03180640000001,32.6661781,4.5,0
360,Encinitas Community Park,-117.28078000000001,33.032475,4.5,0
361,University Heights Community Development Corporation,-117.146606,32.758296,4.5,48
362,Union Cowork North Park,-117.12978999999999,32.74892,4.0,155
363,F&F Property Management,-117.1304966,32.7514174,4.0,178
364,Oceanside,-117.37966000000002,33.19781,4.5,0
365,Heritage Park Victorian Village,-117.1932324,32.75443414,3.5,51
366,Villa Montezuma Museum,-117.14607690000001,32.70811498,5.0,444
367,Jean Rivaldi,-117.1205925,32.739867100000005,5.0,34
368,Dan Cordello Real Estate Services,-117.158634,32.774179,5.0,53
369,Old Town San Diego,-117.19385,32.751709999999996,4.5,61
370,Brett Alderman,-117.2147,32.873470000000005,5.0,69
371,Melinda DiPerna - Keller Williams Realty,-117.1614469,32.72899368,5.0,118
372,J&D Management,-117.14513999999998,32.83039,4.0,44
373,Hoban Management,-116.96391000000001,32.7924999,1.5,1
374,CIS Investments,-117.14021000000001,32.76768,2.0,35
375,Quail Run Apartments,-116.87471000000001,33.03675,3.5,0
376,California Department of Motor Vehicles,-117.04035559999998,32.959752,2.5,0
377,FC Valet,-117.916753,33.644341,5.0,0
378,Silver Moon Photography,-118.0256271,33.7143519,5.0,0
379,Mashcole Property Management,-118.64188,34.15383,3.0,0
380,Montezuma Park,-117.06066100000001,32.76704,4.0,77
381,Kensington,-117.10666499999999,32.763839000000004,5.0,38
382,Haunted San Diego Ghost Tours,-117.19379369999999,32.7516379,4.5,53
383,San Diego State University,-117.07161509999999,32.7751507,4.0,33
384,San Diego State Aztecs,-117.07253,32.77215,4.0,43
385,5811 Lindo Paseo,-117.0715942,32.7714958,3.5,46
386,San Diego Public Library - College Rolando Branch Library,-117.05636000000001,32.769027,3.5,54
387,Aztec Recreation Center,-117.07576399999999,32.774474,4.0,38
